,Unnamed: 0,Number,Name,Country,Region,Type,Activity_Evidence,Last Known Eruption,Latitude,Longitude,Elevation (Meters),Dominant_Rock_Type,Tectonic_Setting,clean_Country,clean_Type,clean_Elevation,clean_Latitude
175,194,232001,Sahand,Iran,Middle East and Indian Ocean,Stratovolcano,Evidence Credible,Unknown,37.75,46.43,3707,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,3000m--4000m,1
176,195,232002,Sabalan,Iran,Middle East and Indian Ocean,Stratovolcano,Evidence Credible,Unknown,38.268,47.835,4784,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,4000m--5000m,1
177,196,232010,Damavand,Iran,Middle East and Indian Ocean,Stratovolcano,Eruption Dated,5350 BCE,35.951,52.108999999999995,5670,Trachyandesite / Basaltic Trachyandesite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,5000m--6000m,1
178,198,232030,Bazman,Iran,Middle East and Indian Ocean,Stratovolcano,Unrest / Holocene,Unknown,28.07,60.0,3490,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,3000m--4000m,1
179,199,232040,Kuh-e Nader,Iran,Middle East and Indian Ocean,Volcanic field,Evidence Uncertain,Unknown,28.17,60.67,1500,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,1
180,200,232050,Taftan,Iran,Middle East and Indian Ocean,Stratovolcano,Evidence Credible,Unknown,28.6,61.13,3940,Andesite / Basaltic Andesite,Intraplate / Continental Crust (>25 km),Other country,Stratovolcano,3000m--4000m,1
181,201,233001,"Grille, La",Comoros,Middle East and Indian Ocean,Shield,Evidence Credible,Unknown,-11.47,43.33,1087,Trachybasalt / Tephrite Basanite,Intraplate / Oceanic Crust (< 15 km),Other country,Shield,1000m--2000m,2
182,202,233005,Mayotte Island,France,Middle East and Indian Ocean,Shield,Eruption Dated,2050 BCE,-12.83,45.17,660,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km),Other country,Shield,0m--1000m,2
183,203,233010,Karthala,Comoros,Middle East and Indian Ocean,Shield,Eruption Observed,2007 CE,-11.75,43.38,2361,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km),Other country,Shield,2000m--3000m,2
184,204,233011,Ambre-Bobaomby,Madagascar,Middle East and Indian Ocean,Volcanic field,Evidence Credible,Unknown,-12.6,49.15,1475,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,2
185,205,233012,Nosy-Be,Madagascar,Middle East and Indian Ocean,Pyroclastic cone(s),Evidence Credible,Unknown,-13.32,48.48,214,Foidite,Intraplate / Continental Crust (>25 km),Other country,Other type,0m--1000m,2
186,206,233013,Ankaizina Field,Madagascar,Middle East and Indian Ocean,Pyroclastic cone(s),Evidence Credible,Unknown,-14.3,48.67,2878,Basalt / Picro-Basalt,Intraplate / Continental Crust (>25 km),Other country,Other type,2000m--3000m,2
187,207,233014,Itasy Volcanic Field,Madagascar,Middle East and Indian Ocean,Pyroclastic cone(s),Eruption Dated,6050 BCE,-19.0,46.77,1800,Trachyte / Trachydacite,Intraplate / Continental Crust (>25 km),Other country,Other type,1000m--2000m,2
188,208,233015,Ankaratra Field,Madagascar,Middle East and Indian Ocean,Pyroclastic cone(s),Evidence Credible,Unknown,-19.4,47.2,2644,Trachybasalt / Tephrite Basanite,Intraplate / Continental Crust (>25 km),Other country,Other type,2000m--3000m,2
189,209,233020,"Fournaise, Piton de la",France,Middle East and Indian Ocean,Shield,Eruption Observed,2016 CE,-21.244,55.708,2632,Basalt / Picro-Basalt,Intraplate / Oceanic Crust (< 15 km),Other country,Shield,2000m--3000m,2
190,210,234000,Boomerang Seamount,France,Middle East and Indian Ocean,Submarine,Eruption Dated,1995 CE,-37.721,77.825,-650,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km),Other country,Submarine,-1000m--0m,2
191,211,234001,Amsterdam Island,France,Middle East and Indian Ocean,Stratovolcano,Evidence Credible,Unknown,-37.83,77.52,881,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km),Other country,Stratovolcano,0m--1000m,2
192,212,234002,St. Paul,France,Middle East and Indian Ocean,Stratovolcano,Eruption Observed,1793 CE,-38.72,77.53,268,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km),Other country,Stratovolcano,0m--1000m,2
193,213,234010,Heard,Australia,Middle East and Indian Ocean,Stratovolcano,Eruption Observed,2016 CE,-53.106,73.513,2745,Trachybasalt / Tephrite Basanite,Intraplate / Oceanic Crust (< 15 km),Other country,Stratovolcano,2000m--3000m,2
194,214,234011,McDonald Islands,Australia,Middle East and Indian Ocean,Complex,Eruption Observed,2005 CE,-53.03,72.6,230,Phonolite,Intraplate / Oceanic Crust (< 15 km),Other country,Other type,0m--1000m,2
195,215,234020,Kerguelen Islands,France,Middle East and Indian Ocean,Stratovolcano(es),Evidence Uncertain,Unknown,-49.58,69.5,1840,Trachyandesite / Basaltic Trachyandesite,Intraplate / Oceanic Crust (< 15 km),Other country,Stratovolcano(es),1000m--2000m,2
196,216,234030,"Est, Ile de l'",France,Middle East and Indian Ocean,Stratovolcano,Evidence Uncertain,Unknown,-46.43,52.2,1090,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km),Other country,Stratovolcano,1000m--2000m,2
197,217,234040,"Possession, Ile de la",France,Middle East and Indian Ocean,Stratovolcano,Evidence Credible,Unknown,-46.42,51.75,934,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km),Other country,Stratovolcano,0m--1000m,2
198,218,234050,"Cochons, Ile aux",France,Middle East and Indian Ocean,Stratovolcano,Evidence Credible,Unknown,-46.1,50.23,775,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km),Other country,Stratovolcano,0m--1000m,2
199,219,234060,Prince Edward Island,South Africa,Middle East and Indian Ocean,Shield,Evidence Credible,Unknown,-46.63,37.95,672,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km),Other country,Shield,0m--1000m,2
200,220,234070,Marion Island,South Africa,Middle East and Indian Ocean,Shield(s),Eruption Observed,2004 CE,-46.9,37.75,1230,Basalt / Picro-Basalt,Rift Zone / Oceanic Crust (< 15 km),Other country,Other type,1000m--2000m,2
201,221,241010,Kaikohe-Bay of Islands,New Zealand,New Zealand to Fiji,Volcanic field,Eruption Dated,400 CE,-35.3,173.9,388,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,2
202,222,241011,Whangarei,New Zealand,New Zealand to Fiji,Pyroclastic cone(s),Evidence Uncertain,Unknown,-35.75,174.27,397,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,2
203,223,241020,Auckland Field,New Zealand,New Zealand to Fiji,Volcanic field,Eruption Dated,1350 CE,-36.9,174.87,260,Trachybasalt / Tephrite Basanite,Subduction Zone / Continental Crust (>25 km),Other country,Other type,0m--1000m,2
204,224,241021,Mayor Island,New Zealand,New Zealand to Fiji,Shield,Eruption Dated,5060 BCE,-37.28,176.25,355,Rhyolite,Subduction Zone / Continental Crust (>25 km),Other country,Shield,0m--1000m,2
205,225,241030,Taranaki [Egmont],New Zealand,New Zealand to Fiji,Stratovolcano,Eruption Observed,1854 CE,-39.3,174.07,2518,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km),Other country,Stratovolcano,2000m--3000m,2
206,226,241040,White Island,New Zealand,New Zealand to Fiji,Stratovolcano(es),Eruption Observed,2016 CE,-37.52,177.18,321,Andesite / Basaltic Andesite,Subduction Zone / Continental Crust (>25 km),Other country,Stratovolcano(es),0m--1000m,2
207,227,241050,Okataina,New Zealand,New Zealand to Fiji,Lava dome(s),Eruption Observed,1981 CE,-38.12,176.5,1111,Rhyolite,Subduction Zone / Continental Crust (>25 km),Other country,Other type,1000m--2000m,2
